"filename", "language", "JSON", "TypeScript", "HTML", "JavaScript", "JSON with Comments", "Batch", "XML", "Rust", "TOML", "Markdown", "TypeScript JSX", "YAML", "CSS", "Protocol Buffers", "comment", "blank", "total"
"c:\Users\gamin\Desktop\Projects\strife\Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 5820, 0, 0, 0, 0, 0, 2, 608, 6430
"c:\Users\gamin\Desktop\Projects\strife\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\gamin\Desktop\Projects\strife\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\gamin\Desktop\Projects\strife\biome.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
"c:\Users\gamin\Desktop\Projects\strife\discord\Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 1192, 0, 0, 0, 0, 0, 2, 152, 1346
"c:\Users\gamin\Desktop\Projects\strife\discord\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 11, 44
"c:\Users\gamin\Desktop\Projects\strife\discord\discord_macro\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 6, 19
"c:\Users\gamin\Desktop\Projects\strife\discord\discord_macro\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 4, 21, 102
"c:\Users\gamin\Desktop\Projects\strife\discord\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 1, 16, 144
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\attachment.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\channel.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 1, 28, 182
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\embed.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 64
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\emoji.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\gateway.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 432, 0, 0, 0, 0, 0, 0, 12, 66, 510
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\guild.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 461, 0, 0, 0, 0, 0, 0, 118, 63, 642
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\interaction.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\member.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\message.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 3, 23, 158
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 14, 2, 19
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\protos.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\reaction.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\relationship.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\gamin\Desktop\Projects\strife\discord\src\types\role.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
